Company;Rating;Company_source
Freeport-McMoRan Oil & Gas LLC;31,3;Freeport-McMoRan, Inc.
Gap Inc. (The);15,6;Gap, Inc.
Gap, Inc. (The);15,6;Gap, Inc.
General Cable Corporation;;
General Mills Canada, Inc.;21,1;General Mills, Inc.
Gerdau S.A.;40,8;Gerdau SA
Glatfelter (P.H.) Co.;19,4;Glatfelter Corp.
GlaxoSmithKline Capital PLC;22,6;GlaxoSmithKline Pharmaceuticals Ltd.
Gold Fields Limited;27,3;Gold Fields Ltd.
Google Inc.;24,2;Alphabet, Inc.
Google LLC;24,2;Alphabet, Inc.
Gray Television, Inc.;17,6;Gray Television, Inc.
Great Atlantic & Pacific Tea Co., Inc.(The);;
Great Lakes Dredge & Dock Corporation;33,3;Great Lakes Dredge & Dock Corp.
Greif, Inc.;14,0;Greif, Inc.
Griffon Corporation;31,3;Griffon Corp.
Grifols S.A.;18,1;Grifols SA
Gulfport Energy Corporation;42,9;Gulfport Energy Corp.
H&E Equipment Services Inc.;27,8;H&E Equipment Services, Inc.
H&E Equipment Services, Inc.;27,8;H&E Equipment Services, Inc.
HCA Healthcare, Inc.;28,8;HCA Healthcare, Inc.
Halliburton Company;25,6;Halliburton Co.
Hanesbrands, Inc.;14,2;Hanesbrands, Inc.
Harley-Davidson, Inc.;15,0;Harley-Davidson, Inc.
Harsco Corp.;19,4;Enviri Corp.
Harsco Corporation;19,4;Enviri Corp.
Hasbro, Inc.;7,3;Hasbro, Inc.
Hess Corporation;33,1;Hess Corp.
Hexcel Corporation;28,8;Hexcel Corp.
Holly Energy Partners LP;36,3;Holly Energy Partners LP
Holly Energy Partners, L.P.;36,3;Holly Energy Partners LP
Hologic Inc.;25,0;Hologic, Inc.
Hologic, Inc.;25,0;Hologic, Inc.
Honda Motor Co., Ltd;28,7;Honda Motor Co., Ltd.
Honeywell International, Inc.;28,6;Honeywell International, Inc.
Hormel Foods Corp.;30,0;Hormel Foods Corp.
Hormel Foods Corporation;30,0;Hormel Foods Corp.
Houghton Mifflin Harcourt Publishers Inc.;;
Houghton Mifflin Harcourt Publishers, Inc.;;
Hovnanian Enterprises Inc.;23,0;Hovnanian Enterprises, Inc.
Hovnanian Enterprises, Inc.;23,0;Hovnanian Enterprises, Inc.
Humana Inc.;22,6;Humana AB
Huntington Ingalls Industries, Inc.;35,6;Huntington Ingalls Industries, Inc.
Huntsman Corporation;27,0;Huntsman Corp.
IDACORP, Inc.;32,0;IDACORP, Inc.
IDEX Corporation;29,3;IDEX Corp.
IRSA Propiedades Comerciales S.A.;;
Industrias Bachoco, S.A.B. de C.V.;45,2;Industrias Bachoco SAB de CV
Ingles Markets, Incorporated;26,0;Ingles Markets, Inc.
Intel Corporation;18,9;Intel Corp.
Interface, Inc.;6,3;Interface, Inc.
Interpublic Group of Companies, Inc.;10,3;Interpublic Group of Cos., Inc.
Interpublic Group of Companies, Inc. (The);10,3;Interpublic Group of Cos., Inc.
Intuit Inc.;16,4;Intuit, Inc.
Iron Mountain Inc.;14,5;Iron Mountain, Inc.
Iron Mountain Incorporated;14,5;Iron Mountain, Inc.
Johnson Controls, Inc.;14,4;Johnson Controls International Plc
Juniper Networks Inc.;15,1;Juniper Networks, Inc.
Juniper Networks, Inc.;15,1;Juniper Networks, Inc.
KAR Auction Services, Inc;18,0;KAR Auction Services, Inc.
Kaiser Aluminum Corporation;29,8;Kaiser Aluminum Corp.
Kinross Gold Corporation;26,5;Kinross Gold Corp.
Kirby Corporation;20,5;Kirby Corp.
Kohl's Corporation;12,5;Kohl's Corp.
Kratos Defense and Security Solutions, Inc.;43,2;Kratos Defense & Security Solutions, Inc.
Kronos Incorporated;24,8;Kronos Worldwide, Inc.
Kronos Worldwide, Inc.;24,8;Kronos Worldwide, Inc.
LKQ Corporation;11,1;LKQ Corp.
Lamar Advertising Company;16,5;Lamar Advertising Co.
Laredo Petroleum Inc.;;
Laredo Petroleum, Inc.;;
Las Vegas Sands Corp.;18,7;Las Vegas Sands Corp.
Las Vegas Sands, LLC;18,7;Las Vegas Sands Corp.
Lear Corporation;12,3;Lear Corp.
Leidos Holdings, Inc.;11,6;Leidos Holdings, Inc.
Lennar Corporation;25,4;Lennar Corp.
Lennox International Inc.;19,6;Lennox International, Inc.
Lions Gate Entertainment, Inc.;18,1;Lions Gate Entertainment Corp.
Live Nation Entertainment, Inc.;21,6;Live Nation Entertainment, Inc.
Lockheed Martin Corporation;30,2;Lockheed Martin Corp.
Louisiana-Pacific Corporation;22,2;Louisiana-Pacific Corp.
LyondellBasell Industries N.V.;20,7;LyondellBasell Industries NV
M.D.C. Holdings, Inc.;20,8;M.D.C. Holdings, Inc.
MDU Resources Group, Inc.;35,6;MDU Resources Group, Inc.
MRC Global (US) Inc.;22,5;MRC Global, Inc.
MSCI Inc.;16,1;MSCI, Inc.
Madison Gas and Electric Company;25,4;MGE Energy, Inc.
Magellan Midstream Partners, L.P.;29,9;Magellan Midstream Partners LP
Magna International Inc.;18,8;Magna International, Inc.
ManTech International Corporation;;
ManpowerGroup Inc.;10,1;ManpowerGroup, Inc.
Marathon Petroleum Corporation;30,5;Marathon Petroleum Corp.
Martin Marietta Materials, Inc.;30,1;Martin Marietta Materials, Inc.
Martin Midstream Partners L.P.;47,7;Martin Midstream Partners LP
MasTec, Inc.;36,3;MasTec, Inc.
Masco Corporation;22,6;Masco Corp.
